Id,Address,City,State,Zip
1,233 S Wacker Dr,Chicago,IL,60606
2,30 Rockefeller Plaza,New York,NY,10112
3,415 Mission St,San Francisco,CA,94105
4,1 Microsoft Way,Redmond,WA,98052
5,410 Terry Ave N,Seattle,WA,98109
6,1 Hacker Way,Menlo Park,CA,94025
7,701 First Ave,Sunnyvale,CA,94089
8,500 Oracle Pkwy,Redwood City,CA,94065
9,One Dell Way,Round Rock,TX,78682
10,2211 N First St,San Jose,CA,95131
